usid,date,link,title,oewaCategory,fetched_at_utc
news:3415936,2026-01-01T18:43:26+01:00,https://orf.at/stories/3415936/,Trump bestreitet Nickerchen vor Kameras,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415934,2026-01-01T18:06:56+01:00,https://orf.at/stories/3415934/,Jemen stoppt internationalen Flugverkehr in Aden,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415933,2026-01-01T17:45:45+01:00,https://orf.at/stories/3415933/,Somalia: Militär tötet 29 Al-Schabab-Kämpfer,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415931,2026-01-01T17:34:49+01:00,https://orf.at/stories/3415931/,Bolsonaro muss nach Operationen wieder in Haft,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415923,2026-01-01T16:49:09+01:00,https://orf.at/stories/3415923/,Knapp 41.500 Migranten überquerten 2025 Ärmelkanal,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415915,2026-01-01T15:26:39+01:00,https://orf.at/stories/3415915/,Medien: Tote bei neuen Protesten im Iran,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415913,2026-01-01T14:52:32+01:00,https://orf.at/stories/3415913/,Israel entzog Dutzenden Hilfsorganisationen die Lizenz,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415907,2026-01-01T13:33:22+01:00,https://orf.at/stories/3415907/,Saudi-Arabien richtete 2025 mehr als 350 Menschen hin,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415898,2026-01-01T11:02:33+01:00,https://orf.at/stories/3415898/,Russland: Drohnenangriffe auf russische Ölanlagen,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
news:3415894,2026-01-01T10:02:52+01:00,https://orf.at/stories/3415894/,Mamdani tritt Amt als New Yorker Bürgermeister an,urn:oewa:RedCont:Politik/PolitikAusland,2026-01-01T19:02:50.064421+00:00
